,date,frequency,avg_passenger_count,avg_trip_distance,avg_fare_amount,avg_tip_amount,avg_total_amount,sum_passenger_count,sum_trip_distance,sum_fare_amount,sum_tip_amount,sum_total_amount,date_of_interest,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,CASE_COUNT_7DAY_AVG,ALL_CASE_COUNT_7DAY_AVG,HOSP_COUNT_7DAY_AVG,DEATH_COUNT_7DAY_AVG,ALL_DEATH_COUNT_7DAY_AVG,policy,policy_coverage_area
109,2020-05-20,8963,1.0,2.260031239540333,9.546408568559636,1.4113042508088791,14.181133549036208,8963.0,20256.660000000003,85564.46000000002,12649.519999999984,127105.50000001153,2020-05-20,1077.0,79.0,79.0,829.0,840.0,107.0,73.0,84.0,1.0,1.0
110,2020-05-21,9152,1.0,2.2762838723776344,9.618288898601397,1.449190340909089,14.30565668706419,9152.0,20832.550000000112,88026.57999999999,13262.989999999982,130925.37000001146,2020-05-21,1069.0,84.0,45.0,823.0,833.0,98.0,69.0,79.0,1.0,1.0
111,2020-05-22,9638,1.0,2.2517109358788168,9.569276820917201,1.430355882963271,14.230054990662804,9638.0,21701.990000000038,92228.68999999999,13785.770000000006,137149.2700000081,2020-05-22,1036.0,101.0,66.0,847.0,856.0,95.0,66.0,76.0,1.0,1.0
112,2020-05-23,5530,1.0,2.30890235081374,9.541721518987341,1.2882983725135597,13.700640144666355,5530.0,12768.229999999983,52765.719999999994,7124.289999999985,75764.54000000494,2020-05-23,455.0,75.0,60.0,842.0,850.0,93.0,63.0,71.0,1.0,1.0
113,2020-05-24,5417,1.0,2.4952556765737435,9.970991323610855,1.4819678788997588,14.438142883515685,5417.0,13516.799999999968,54012.86,8027.819999999993,78211.42000000447,2020-05-24,467.0,87.0,48.0,858.0,864.0,93.0,59.0,66.0,1.0,1.0
114,2020-05-25,5192,1.0,2.3234976887519245,9.469262326656395,1.4009803543913695,13.82531201849075,5192.0,12063.599999999991,49164.41,7273.88999999999,71781.02000000398,2020-05-25,464.0,78.0,47.0,796.0,802.0,88.0,57.0,63.0,1.0,1.0
115,2020-05-26,9285,1.0,2.2902175551965573,9.689312870220785,1.4512202477113638,14.393934302639702,9285.0,21264.670000000035,89965.26999999999,13474.580000000013,133647.68000000963,2020-05-26,1050.0,75.0,38.0,803.0,809.0,83.0,55.0,60.0,1.0,1.0
116,2020-05-27,9740,1.0,2.248085215605753,9.569620123203286,1.425563655030798,14.232113963039675,9740.0,21896.350000000035,93208.1,13884.989999999972,138620.79000000644,2020-05-27,741.0,76.0,48.0,755.0,761.0,82.0,50.0,56.0,1.0,1.0
117,2020-05-28,9688,1.0,2.2743455821635017,9.668677745664741,1.5000392237819984,14.4056977704383,9688.0,22033.860000000004,93670.15000000001,14532.380000000001,139562.40000000625,2020-05-28,646.0,80.0,38.0,694.0,700.0,82.0,49.0,54.0,1.0,1.0
118,2020-05-29,10514,1.0,2.2496033859615774,9.561066197451016,1.4649334221038595,14.27074852577526,10514.0,23652.330000000024,100525.04999999999,15402.309999999978,150042.6500000011,2020-05-29,639.0,84.0,43.0,637.0,643.0,79.0,46.0,51.0,1.0,1.0
